ChEMBL_ID,Set,Residual
CHEMBL4070551,Train,0.5672999999999924
CHEMBL5412398,Train,0.703300000000004
CHEMBL465843,Train,-0.38369999999999305
CHEMBL5277464,Train,0.7473999999999954
CHEMBL3980709,Train,0.6153500000000021
CHEMBL5275244,Train,0.5103499999999856
CHEMBL4088848,Train,-0.3584500000000048
CHEMBL5289048,Train,0.43539999999998624
CHEMBL4068246,Train,-0.7580500000000034
CHEMBL4453643,Train,0.5579000000000018
CHEMBL3805047,Train,-0.46699999999999786
CHEMBL3884559,Train,-0.3437000000000019
CHEMBL5394069,Train,0.8701499999999882
CHEMBL5273431,Train,0.7596999999999969
CHEMBL5280867,Train,-0.361799999999997
CHEMBL4797985,Train,0.39875000000000416
CHEMBL3401525,Test,-0.6916499999999992
CHEMBL3884836,Test,0.711599999999998
CHEMBL5401775,Test,-0.6800000000000042
CHEMBL3885128,Test,0.49849999999999994
CHEMBL4083156,Test,1.1825000000000037
CHEMBL5409171,Test,0.6231000000000018
CHEMBL5277445,Test,0.5725000000000016
CHEMBL5555620,Test,-0.48080000000000833
CHEMBL1085588,Test,-1.3079500000000008
CHEMBL185,Test,-0.6958000000000002
CHEMBL3416004,Test,0.3519499999999969
CHEMBL5558244,Test,-1.119449999999996
CHEMBL4762880,Test,-0.7264999999999961
CHEMBL4779312,Test,-0.37843333333333273
CHEMBL572878,Test,-0.5256666666666661
CHEMBL3310805,Test,-1.2608000000000015
CHEMBL140,Test,-0.7398500000000015
CHEMBL4290751,Test,0.5762000000000027
CHEMBL5273395,Test,-0.4430500000000004
CHEMBL4291163,Test,-0.7280999999999977
CHEMBL3885039,Test,0.6079999999999997
CHEMBL4080633,Test,0.6347000000000005
CHEMBL4785582,Test,1.0275999999999987
CHEMBL4294821,Test,-0.6725999999999974
CHEMBL4786967,Test,0.4718333333333309
CHEMBL5271397,Test,-0.6091999999999995
CHEMBL303697,Test,-0.8404999999999996
