tunnuste_arv,tunnused,MSE,Oob,test_MSE,test_R2
1,['SMR_VSA10'],0.12479859242070102,0.4902422309876937,0.1630004746499358,0.699088811312316
2,"['SMR_VSA10', 'SMR_VSA3']",0.08158358978226332,0.5982368998705727,0.1798212085759165,0.6680364659057372
3,"['SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8']",0.07758329657748099,0.64867387638382,0.15490822579445443,0.7140277139596183
4,"['SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'NumAromaticCarbocycles']",0.07580575259351503,0.6649995969557199,0.17898523689593046,0.6695797327733588
5,"['PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'NumAromaticCarbocycles']",0.07360504645467264,0.6699987995651719,0.1706436133267379,0.6849789999790628
6,"['PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'EState_VSA7', 'NumAromaticCarbocycles']",0.04453127723922404,0.6879848599908951,0.18799972410897942,0.6529383084553373
7,"['PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'EState_VSA7', 'NumAromaticCarbocycles', 'NumHAcceptors']",0.03342852111425355,0.6939273826746859,0.18181590528726194,0.6643541051042032
8,"['PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'EState_VSA7', 'NumAromaticCarbocycles', 'NumHAcceptors', 'NumHeterocycles']",0.028994730804213973,0.7084734197521154,0.17107755197793498,0.6841779164507499
9,"['PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'EState_VSA3', 'EState_VSA7', 'NumAromaticCarbocycles', 'NumHAcceptors', 'NumHeterocycles']",0.026191621433391054,0.7020835195294228,0.1698218780046768,0.6864959854545905
10,"['MaxPartialCharge', 'PEOE_VSA4', 'SMR_VSA10', 'SMR_VSA3', 'SlogP_VSA8', 'EState_VSA3', 'EState_VSA7', 'NumAromaticCarbocycles', 'NumHAcceptors', 'NumHeterocycles']",0.025802097488922943,0.7023322768360505,0.15538420503939399,0.7131490203196579
